SO Name,Cambridge University Press:Master:2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Biosocial Science,0021-9320,1469-7599,01/01/1969,1,1,,,,JBS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JBS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of British Studies,0021-9371,1545-6986,01/01/2003,42,1,, ,,JBR,,fulltext,New for 2013. Previously published by Chicago University Press,,,Cambridge Journals,http://journals.cambridge.org/jid_JBR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Child Language,0305-0009,1469-7602,01/01/1974,1,1,,,,JCL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JCL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Dairy Research,0022-0299,1469-7629,01/01/1929,1,1,,,,DAR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DAR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Dentofacial Anomalies and Orthodontics,2110-5715,,01/01/2008,11,1,, ,,DAO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DAO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,01/01/2010,1,1,,,,DOH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DOH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Experimental Political Science,2062-2630,2062-2649,,,,,,,XPS,,fulltext,Not online content available yet,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=XPS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,01/01/1966,1,1,,,,JFQ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JFQ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Fluid Mechanics,0022-1120,1469-7645,01/01/1956,1,1,,,,FLM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_FLM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of French Language Studies,0959-2695,1474-0079,01/01/1991,1,1,,,,JFL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JFL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Functional Programming,0956-7968,1469-7653,01/01/1991,1,1,,,,JFP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JFP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Germanic Linguistics,1470-5427,1475-3014,01/01/1989,1,1,,,,JGL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JGL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Global History,1740-0228,1740-0236,03/01/2006,1,1,,,,JGH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JGH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Helminthology,0022-149X,1475-2697,01/01/1923,1,1,,,,JHL,,fulltext,"Missing from the archive vol 26 iss 2, vol 26 iss 3",,,Cambridge Journals,http://journals.cambridge.org/jid_JHL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Hospitality and Tourism Management,1447-6770,1839-5260,01/01/2006,13,1,12/31/2012,19,,JHT,,fulltext,Moving publisher in 2013. Formerly published by Australian Academic Press Published by CUP for 2012. Moving to Elsevier for 2013. Formerly Australian Journal of Hospitality Management,,,Cambridge Journals,http://journals.cambridge.org/JHT,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Hygiene,0022-1724,,01/01/1901,1,1,12/31/1986,97,3,,,fulltext,Currently Epidemiology & Infection,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=hyg,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Institutional Economics,1744-1374,1744-1382,06/01/2005,1,1,,,,JOI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JOI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of K-Theory,1865-2433,1865-5394,01/01/2008,1,,,,,KAG,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=KAG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Latin American Studies,0022-216X,1469-767X,01/01/1969,1,1,,,,LAS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LAS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Linguistic Geography,2049-7547,,,,,, ,,JLG,,fulltext,New for 2013. Not only content available yet,,,Cambridge Journals,http://journals.cambridge.org/jid_JLG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Linguistics,0022-2267,1469-7742,01/01/1965,1,1,,,,LIN,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LIN,Cambridge Journals,,,,,,,,,,,,,N/A,2000035206,N/A,,,,,,,,,,,,,,,,,
Journal of Materials Research,0884-2914,2044-5326,01/01/1986,1,1,,,,JMR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JMR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Mechanics,1727-7191,1811-8216,01/01/1998,14,1,,,,JOM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JOM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Nutritional Science,2048-6790,,01/01/2012,1,,,,,JNS,,fulltext,Open Access,,,Cambridge Journals,http://journals.cambridge.org/jid_JNS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Pacific Rim Psychology,,1834-4909,04/01/2007,1,1,,,,PRP,,fulltext,Formerly South Pacific Journal of Psychology. Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_PRP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Pension Economics and Finance,1474-7472,1475-3022,03/01/2002,1,1,,,,PEF,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PEF,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Plasma Physics,0022-3778,1469-7807,01/01/1967,1,1,,,,PLA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PLA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Policy History,0898-0306,1528-4190,01/01/1989,1,1,,,,JPH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JPH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Psychiatric Intensive Care,1742-6464,1744-2206,09/01/2005,1,1,,,,JPI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JPI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Public Policy,0143-814X,1469-7815,01/01/1981,1,1,,,,PUP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PUP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Radiotherapy in Practice,1460-3969,1467-1131,04/01/1999,1,1,,,,JRP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JRP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Relationships Research,,1838-0956,11/01/2010,1,1,, ,,JRR,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_JRR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Smoking Cessation,1834-2612,,10/01/2006,1,1,,,,JSC,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_JSC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Social Policy,0047-2794,1469-7823,01/01/1972,1,1,,,,JSP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JSP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Southeast Asian History,0217-7811,,01/01/1960,1,1,12/31/1969,10,3,SHE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=SEH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Southeast Asian Studies,0022-4634,1474-0680,01/01/1970,1,1,,,,SEA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayMoreInfo?jid=SEA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Australian Mathematical Society,1446-7887,1446-8107,01/01/1959,1,1,,,,JAZ,,fulltext,Free from 1959 vol 1 iss 1 - 2007 vol 83 iss 3,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=JAZ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the History of Economic Thought,1053-8372,1469-9656,01/01/1979,1,1,,,,HET,,fulltext,Missing from the archive vol 6,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=het,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Institute of Actuaries,0020-2681,,,,,,,,JIA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=JIA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Institute of Mathematics of Jussieu,1474-7480,1475-3030,01/01/2002,1,1,,,,JMJ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=jmj,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the International Neuropsychological Society,1355-6177,1469-7661,01/01/1995,1,1,,,,INS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=INS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the International Phonetic Association,0025-1003,1475-3502,01/01/1971,1,1,,,,IPA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=IPA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Marine Biological Association of the United Kingdom,0025-3154,1469-7769,01/01/1987,1,1,,,,MBI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=mbi,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Royal Asiatic Society,1356-1863,1474-0591,01/01/1834,1,1,,,,JRA,,fulltext,Missing from the archive 1885 vol 17 iss 4,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=jra,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Society for American Music,1752-1963,1752-1971,02/01/2007,1,1,,,,SAM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=SAM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Tropical Ecology,0266-4674,1469-7831,01/01/1985,1,1,,,,TRO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_TRO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Tropical Psychology,,1838-9902,03/01/2011,1,,, ,,JTP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JTP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Wine Economics,1931-4361,1931-437X,01/01/2006,1,1,, ,,JWE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JWE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantian Review,1396-4154,2044-2394,01/01/1997,1,,,,,KRV,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_KRV,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Language in Society,0047-4045,1469-8013,01/01/1972,1,1,,,,LSY,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LSY,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Language Teaching,0261-4448,1475-3049,01/01/1968,1,1,,,,LTA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LTA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Language Variation and Change,0954-3945,1469-8021,01/01/1989,1,1,,,,LVC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LVC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser and Particle Beams,0263-0346,1469-803X,01/01/1983,1,1,,,,LPB,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LPB,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and History Review,0738-2480,1939-9022,01/01/1983,1,1,,,,LHR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LHR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Information Management,1472-6696,1741-2021,01/01/2001,1,1,,,,LIM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LIM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Theory,1352-3252,1469-8048,01/01/1995,1,1,,,,LEG,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LEG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leiden Journal of International Law,0922-1565,1478-9698,01/01/1988,1,1,,,,LJL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LJL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroeconomic Dynamics,1365-1005,1469-8056,01/01/1997,1,1,,,,MDY,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MDY,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Biodiversity Records,,1755-2672,01/01/2008,1,1,,,,MBD,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MBD,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematical Modelling of Natural Phenomena,0973-5348,1760-6101,01/01/2006,1,,,,,MNP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MNP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematical Proceedings of the Cambridge Philosophical Society,0305-0041,1469-8064,01/01/1924,22,1,,,,PSP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PSP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematical Structures in Computer Science,0960-1295,1469-8072,01/01/1991,1,1,,,,MSC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MSC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematika,0025-5793,2041-7942,01/01/1954,1,1,,,,MTK,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MTK,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanics & Industry,2257-7777,2257-7750,01/01/2004,5,1,, ,,MIN,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MIN,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical History,0025-7273,2048-8343,01/01/1957,1,1,, ,,MDH,,fulltext,Free content from 1957 vol 1 iss 1 to 2011 vol 55 iss 4,,,Cambridge Journals,http://journals.cambridge.org/jid_MDH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microscopy and Microanalysis,1431-9276,1435-8115,01/01/1995,1,1,,,,MAM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MAM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microscopy Today ,1551-9295,2150-3583,,,,,,,,,fulltext,Online version free to everyone. Controlled circulation therefore necessity to reregister each year. ,,,Cambridge Journals,http://microscopy-today.com ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Asian Studies,0026-749X,1469-8099,01/01/1967,1,1,,,,ASS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ASS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Intellectual History,1479-2443,1479-2451,04/01/2004,1,1,,,,MIH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MIH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRS Bulletin,0883-7694,1938-1425,01/01/2000,25,1,,,,MRS,,fulltext,Missing from the archive vol 1-25 iss 2,,,Cambridge Journals,http://journals.cambridge.org/jid_MRS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRS Communications,2159-6859,2159-6867,11/01/2011,1,1,, ,,MRC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRS Online Proceedings Library (OPL),,1946-4274,01/01/1980,1,,,,,OPL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/OPL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Engineering,1351-3249,1469-8110,01/01/1995,1,1,,,,NLE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_NLE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands International Law Review,0165-070X,1741-6191,01/01/1953,1,1,,,,NLR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_NLR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Yearbook of International Law,0167-6768,1574-0951,01/01/1970,1,,,,,NYL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_NYL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Science,2050-1242,2050-1250,01/01/2013,1,1,, ,,NWS,,fulltext,New journal for 2013,,,Cambridge Journals,http://journals.cambridge.org/jid_NWS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuron Glia Biology,1740-925X,1741-0533,02/01/2004,1,1,,,,NGB,,fulltext,"From 2012, Neuron Glia Biology will no longer be publishing content in its current form and will temporarily be suspending the submissions and peer review facility",,,Cambridge Journals,http://journals.cambridge.org/jid_NGB,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Testament Studies,0028-6885,1469-8145,01/01/1954,1,1,,,,NTS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_NTS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Theatre Quarterly,0266-464X,1474-0613,01/01/1985,1,1,,,,NTQ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_NTQ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nineteenth-Century Music Review,1479-4098,2044-8414,06/01/2004,1,,,,,NCM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_NCM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordic Journal of Linguistics,0332-5865,1502-4717,01/01/1978,1,1,,,,NJL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_NJL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrition Research Reviews,0954-4224,1475-2700,01/01/1988,1,1,,,,NRR,,fulltext,Previous 36 months available to current subscribers,,,Cambridge Journals,http://journals.cambridge.org/jid_NRR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organised Sound,1355-7718,1469-8153,04/01/1996,1,1,,,,OSO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_OSO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryx,0030-6053,1365-3008,01/01/1950,1,1,,,,ORX,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ORX,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palliative & Supportive Care,1478-9515,1478-9523,03/01/2003,1,1,,,,PAX,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PAX,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papers of the British School at Rome,0068-2462,2045-239X,01/01/1902,1,1,,,,ROM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ROM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasitology,0031-1820,1469-8161,01/01/1908,1,1,,,,PAR,,fulltext,"Missing from the archive supplements to vol 93, 95 and 97 and vol 55 iss 4",,,Cambridge Journals,http://journals.cambridge.org/jid_PAR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perspectives on Politics,1537-5927,1541-0986,03/01/2003,1,1,,,,PPS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PPS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophy,0031-8191,1469-817X,01/01/1926,1,1,,,,PHI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PHI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phonology,0952-6757,1469-8188,01/01/1984,1,1,,,,PHO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PHO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainsong and Medieval Music,0961-1371,1474-0087,01/01/1992,1,1,,,,PMM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PMM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Genetic Resources,1479-2621,1479-263X,04/01/2003,1,1,,,,PGR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PGR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polar Record,0032-2474,1475-3057,01/01/1931,1,1,,,,POL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_POL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Political Science Research and Methods,2049-8470,2049-8489,01/01/2013,1,,, ,,RAM,,fulltext,Coverage dates range with agreement: previous 4 years free - however new start up. Not content available yet,,,Cambridge Journals,http://journals.cambridge.org/jid_RAM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politics & Gender,1743-923X,1743-9248,03/01/2005,1,1,,,,PAG,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PAG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
