"list.name","title.identifier","title.title","title.publisher","title.primary_author","title.publication_year"
"UoY_HYMS",0071780033,"Ganong's review of medical physiology."," McGraw-Hill","Barrett, K.E. and Ganong, W.F.",2012
"UoY_HYMS",0091816653,"C: because cowards get cancer too."," Vermilion","Diamond, J.",1998
"UoY_HYMS",0099455641,"Have the men had enough?.","Vintage","Forster, M.",2004
"UoY_HYMS",0113222777,"Drug misuse and dependence: guidelines on clinical management.","The Stationery Office","Dept of Health",1999
"UoY_HYMS",0117033944,"Concepts of rehabilitation for the management of common health problems","TSO","Waddell, G.",2004
"UoY_HYMS",0120455919,"An introduction to human evolutionary anatomy.","London ; Academic Press","Aiello, L.",1990
"UoY_HYMS",0123190606,"Bones and cartilage : developmental and evolutionary skeletal biology.","Amsterdam ; Elsevier Academic Press","Hall, B.K.",2005
"UoY_HYMS",0192616749,"Why are we waiting?.","Oxford University Press","Yates, J.",1987
"UoY_HYMS",0198567391,"Oxford handbook of endocrinology and diabetes"," Oxford University Press","Wass, J.A.H.",2014
"UoY_HYMS",0199203806,"Oxford handbook of reproductive medicine and family planning"," Oxford University Press","McVeigh, E., Homburg, R., and Guillebaud, J.",2013
"UoY_HYMS",0199234078,"Oxford handbook of key clinical evidence"," Oxford University Press","Harrison, J.",2009
"UoY_HYMS",0199542554,"Clinical medicine for the MRCP PACES."," Oxford University Press","Mehta, G., Iqbal, B., and Bowman, D.",2010
"UoY_HYMS",0199591180,"Oxford handbook of clinical specialties"," Oxford University Press","Collier, J.A.B.",2013
"UoY_HYMS",0199652678,"Oxford textbook of medical education"," Oxford University Press","Walsh, K.",2013
"UoY_HYMS",0199660158,"Oxford handbook of sport and exercise medicine"," Oxford University Press","MacAuley, D.",2013
"UoY_HYMS",0199696950,"Oxford specialist handbook of community paediatrics"," Oxford University Press","Gada, S.",2012
"UoY_HYMS",0224019228,"A Philip Roth reader."," J. Cape","Roth, P.",1981
"UoY_HYMS",0323011691,"Decisions and evidence in medical practice.","Harcourt","Gross, R.",2001
"UoY_HYMS",0330325108,"A leg to stand on."," Picador","Sacks, O.W.",1991
"UoY_HYMS",0335157327,"Children's consent to surgery."," Open University Press","Alderson, P.",1993
"UoY_HYMS",0340563559,"Hormones and metabolic control","Edward Arnold","White, D.A. and Baxtter, M.",1994
"UoY_HYMS",0340760273,"Medicine in society.","Arnold","Dowrick, C.",2001
"UoY_HYMS",0340809205,"Outline of sociology as applied to medicine.","Arnold","Armstrong, D.",2003
"UoY_HYMS",0340939923,"Clinical pain management practice and procedures"," Hodder Arnold","Breivik, H. et al.",2008
"UoY_HYMS",0340974257,"Chamberlain's symptoms and signs in clinical medicine : an introduction to medical diagnosis."," Hodder Arnold","Houghton, A.R., Gray, D., and Chamberlain, E.N.",2010
"UoY_HYMS",0340983531,"Obstetrics by ten teachers"," Hodder Arnold","Baker, P. and Kenny, L.",2011
"UoY_HYMS",0415017211,"Back pain.","Tavistock/Routledge","Humphrey, M.",1989
"UoY_HYMS",0415307171,"Small group teaching : tutorials, seminars and beyond","RoutledgeFalmer","Exley, K. and Dennick, R.",2004
"UoY_HYMS",0415316316,"Workplace Learning in Context"," Routledge","Rainbird, H., Fuller, A., and Munro, A.",2004
"UoY_HYMS",0443044449,"Behind the screens: nursing, somology, and the problem of the body."," Churchill Livingstone","Lawler, J.",1991
"UoY_HYMS",0443054665,"Private eye, heart & hip","Churchill Livingstone","Yates, J.",1995
"UoY_HYMS",0443059497,"Respiratory medicine : an illustrated colour text"," Churchill Livingstone, 2002.","Selby, C.",2002
"UoY_HYMS",0443059896,"Health psychology for health care professionals.","Churchill Livingstone","Niven, N.",2000
"UoY_HYMS",0443072876,"Wall and Melzack's textbook of pain","Elsevier/Churchill Livingstone","Wall, P.D.",2006
"UoY_HYMS",0443074240,"Pain","Churchill Livingstone","Stannard, C.",2004
"UoY_HYMS",0444518282,"Contraception and family planning","Elsevier","Milsom, I.",2006
"UoY_HYMS",0465068782,"The reflective practitioner: how professionals think in action.","Temple Smith","Schon, D.A.",1983
"UoY_HYMS",0470654570,"Dewhurst's textbook of obstetrics & gynaecology"," Wiley-Blackwell","Dewhurst, J. and Edmonds, D.K.",2011
"UoY_HYMS",0470657685,"Neuroanatomy and neuroscience at a glance"," Wiley-Blackwell","Barker, R.A.",2012
"UoY_HYMS",0470658924,"Clinical anaesthesia : Lecture notes"," Wiley-Blackwell","Gwinnutt, C.L.",2012
"UoY_HYMS",0471958166,"Statistical shape analysis."," Wiley-Blackwell","Dryden, I.L.",2012
"UoY_HYMS",0521004241,"Comparative primate socioecology."," Cambridge University Press","Lee, P.C.",1999
"UoY_HYMS",0521223601,"Mortal questions."," Cambridge University Press","Nagel, T.",1979
"UoY_HYMS",0521357675,"The theory and practice of autonomy."," Cambridge University Press","Dworkin, G.",1988
"UoY_HYMS",0521518261,"Textbook of stroke medicine"," Cambridge University Press","Brainin, M., Heiss, W., and Heiss, S.",2010
"UoY_HYMS",0521747627,"Introduction to the science of medical imaging"," Cambridge University Press","Bryan, R.N.",2010
"UoY_HYMS",0521894530,"Autonomy and trust in bioethics."," Cambridge University Press","O'Neill, O.",2002
"UoY_HYMS",0632042044,"Morson and Dawson's Gastrointestinal pathway","Blackwell","Day, D.",2003
"UoY_HYMS",0632055820,"Diseases of the liver and biliary system"," Blackwell Science","Sherlock, S.",2002
"UoY_HYMS",0674561252,"Medical problem solving.","Harvard University Press","Elstein, A.S.",1978
"UoY_HYMS",0702025321,"Meeting the health needs of people who have a learning disability.","Baillière Tindall","Thompson, J.",2001
"UoY_HYMS",0702026131,"Respiratory Medicine","Saunders","Gibson, G.",2003
"UoY_HYMS",0702027650,"Kumar & Clark's medical management and therapeutics"," Saunders/Elsevier","Kumar, P.J. and Clark, M.L.",2011
"UoY_HYMS",0702030015,"Davidson's essentials of medicine"," Elsevier/Churchill Livingstone","Davidson, S. and Innes, J.A.",2009
"UoY_HYMS",0702030457,"Wheater's review of histology and basic pathology"," Churchill Livingstone","Baldwin, K.M.",2010
"UoY_HYMS",0702032220,"Churchill's pocketbook of differential diagnosis"," Churchill Livingstone Elsevier","Raftery, A.T.",2010
"UoY_HYMS",0702040932,"Clinical ophthalmology a systematic approach"," Elsevier Saunders","Kanski, J.J.",2011
"UoY_HYMS",0702044598,"Davidson's 100 clinical cases"," Churchill Livingstone/Elsevier","Strachan, M.W. et al.",2012
"UoY_HYMS",0716760096,"Eye, brain, and vision.","Scientific American Library","Hubel, D.H.",1988
"UoY_HYMS",0723419434,"Clinical Problems in Gastroenterology"," Mosby-Wolfe","Rhodes, J.M. and Tsai, H.H.",1995
"UoY_HYMS",0723433593,"Heart failure","Mosby","Cleland, J.",2004
"UoY_HYMS",0723433968,"Flesh and bones of pathology","Mosby/Elsevier","Bateman, A.C.",2009
"UoY_HYMS",0723436193,"Pathology."," Mosby","Xiu, P.",2012
"UoY_HYMS",0727911058,"ABC of colorectal diseases","BMJ Books","Jones, D.J.",1999
"UoY_HYMS",0727914863,"Informed consent in medical research."," BMJ Books","Doyal, L.T. and Jeffrey, S.",2001
"UoY_HYMS",0729538729,"Pocket clinical examination"," Churchill Livingstone Elsevier","Talley, N.J.",2009
"UoY_HYMS",0748608966,"Virtue ethics."," Edinburgh University Press","Statman, D.",1997
"UoY_HYMS",0748731830,"Rehabilitation of the physically disabled adult","Stanley Thornes","Goodwill, C.J.",2004
"UoY_HYMS",0749440872,"Making Sense of Change Management"," London","Cameron, E. and Green, M.",2009
"UoY_HYMS",0753809974,"Pain.","Phoenix","Wall, P.D.",1999
"UoY_HYMS",0781754607,"Handbook of gastroenterology"," Lippincott Williams & Wilkins","Yamada, T.",2005
"UoY_HYMS",0822314010,"Cigarettes are sublime.","Duke University Press","Klein, R.",1993
"UoY_HYMS",0850388643,"Reflection: turning experience into learning","Kogan Page","Boud, D.",1985
"UoY_HYMS",0904473392,"Portfolios, personal development and reflective practice"," ASME","Pitts, J.",2007
"UoY_HYMS",0954087941,"Musculoskeletal Rehabilitation","British Society of Rehabilitation Medicine","Neumann, V.",2004
"UoY_HYMS",1405127619,"Essentials of clinical immunology"," Wiley-Blackwell","Chapel, H.",2014
"UoY_HYMS",1405130571,"OSCEs at a glance"," Wiley-Blackwell","Blundell, A.",2009
"UoY_HYMS",1405145080,"Lecture notes : Diseases of the ear, nose and throat"," Blackwell Pub.","Bull, P.D.",2007
"UoY_HYMS",1405191953,"Hands-on guide to clinical pharmacology"," Wiley-Blackwell","Chatu, S.",2010
"UoY_HYMS",1405195142,"Lecture notes Radiology"," Wiley-Blackwell","Patel, P.R.",2010
"UoY_HYMS",1405195711,"Lecture notes : dermatology"," Wiley-Blackwell","Graham-Brown, R.A.C.",2011
"UoY_HYMS",1405196831,"Roitt's essential immunology"," Wiley-Blackwell","Delves, P.J. and Roitt, I.M.",2011
"UoY_HYMS",1437702724,"Netter's clinical anatomy"," Saunders/Elsevier","Hansen, J.T. and Netter, F.H.",2010
"UoY_HYMS",1444120654,"Complete self assessment for medical and surgical finals"," Hodder Arnold","Patel, K.",2012
"UoY_HYMS",1444121510,"EMQs in clinical medicine"," Hodder Arnold","Syed, I.",2011
"UoY_HYMS",1444149024,"450 single best answers in the clinical specialities"," Hodder Arnold","Dubb, S.S.",2012
"UoY_HYMS",1444149040,"100 cases for medical data interpretation"," CRC Press","Howlett, D.C. and Gainsborough,",2013
"UoY_HYMS",1444176609,"The situational judgement test","CRC Press, Taylor & Francis Group","Mahesan, N., Choudhury, S.M., and Rymer, J.",2012
"UoY_HYMS",1444330047,"Essential endocrinology and diabetes"," Wiley-Blackwell","Holt, R.I.G.",2012
"UoY_HYMS",1444332155,"The endocrine system at a glance"," Wiley-Blackwell","Greenstein, B.",2011
"UoY_HYMS",1444336096,"Anatomy at a glance"," Wiley-Blackwell","Faiz, O.",2011
"UoY_HYMS",1452203407,"Leadership:Theory and Practice","Sage","Northouse, P.G.",2013
"UoY_HYMS",1605472514,"ECG interpretation : an incredibly easy! pocket guide.","Wolters Kluwer Health/Lippincott Williams & Wilkins",,2010
"UoY_HYMS",1846192102,"A guide to laboratory investigations"," Radcliffe","McGhee, M.F.",2008
"UoY_HYMS",1846192501,"The easy guide to OSCEs for specialties : a step-by-step guide to OSCE success"," Radcliffe","Akunjee, M.",2009
"UoY_HYMS",1846195810,"Focused history taking for OSCEs : a comprehensive guide for medical students"," Radcliffe Publishing","McCollum, D., Freemont, A., and Pearson, D.",2013
"UoY_HYMS",1850092362,"Cough.","London","Morice, A.",2003
"UoY_HYMS",1853157171,"Medicine : 150 EMQs for finals"," Royal Society of Medicine Press","Capewell, D.",2008
"UoY_HYMS",1853159441,"SAQs for medical finals"," RSM","Gami, B.",2011
"UoY_HYMS",1857174631,"Five-year health check.","King's Fund","Appleby, J.",2002
"UoY_HYMS",1857755391,"Narrative-based primary care : a practical guide."," Radcliffe Medical Press","Launer, J.",2002
"UoY_HYMS",1857756797,"The Inner Consultation: how to develop an effective and intuitive consulting style"," Radcliffe","Neighbour, R.",2005
"UoY_HYMS",1857759060,"A long walk home.","Radcliffe Medical Press","Clark, R.",2002
"UoY_HYMS",1857759451,"Caring for dying people of different faiths"," Radcliffe Medical Press","Neuberger, J.",2004
"UoY_HYMS",1859962521,"Endocrinology","Bios","Nussey, S.",2001
"UoY_HYMS",1860161944,"Rehabilitation following acquired brain injury","Royal College of Physicians","Turner-Stokes, L.",2003
"UoY_HYMS",1903474159,"Understanding heart failure","Family Doctor","Cleland, J.",2005
"UoY_HYMS",1904627129,"100 clinical cases and OSCEs in medicine"," Pastest","McCluskey, D.R.",2004
"UoY_HYMS",1904842844,"Essential examination : step-by-step system-based guide to clinical examination with practical tips and key facts for OSCEs"," Scion","Ruthven, A.K.B.",2010
"UoY_HYMS",9780007361441,"Physiology at a glance"," John Wiley & Sons","Ward, J.P.T. and Linden, R.W.A.",2013
"UoY_HYMS",9780071346825,"Clinical physiology of acid-base and electrolyte disorders.","McGraw-Hill, Medical Pub. Division","Rose, B.D.",2001
"UoY_HYMS",9780071590389,"Users' guides to the medical literature: essentials of evidence-based clinical practice","McGraw Hill Medical","Guyatt, G.",2008
"UoY_HYMS",9780071599917,"Harrison's principles of internal medicine."," McGraw-Hill Medical","Fauci, A.S.",2008
"UoY_HYMS",9780071794794,"Adams and Victor's Principles of Neurology","McGraw-Hill","Ropper, A.H.",2014
"UoY_HYMS",9780071807432,"Understanding Medical Professionalism"," McGraw Hill Education","Levinson, W. et al.",2014
"UoY_HYMS",9780080451299,"General and systematic pathology.","Elsevier","Bass, P.",2009
"UoY_HYMS",9780099460992,"Black's medical dictionary"," A. & C. Black,","Marcovitch, H.",2010
"UoY_HYMS",9780099570486,"In the springtime of the year.","Hamish Hamilton","Hill, S.",1974
"UoY_HYMS",9780113228096,"Code of practice. Mental Health Act 1983","TSO",,2008
"UoY_HYMS",9780117029491,"The back book","TSO","Roland, M.",2002
"UoY_HYMS",9780123786326,"Primate adaptation and evolution."," Academic Press","Fleagle, J.G.",2013
"UoY_HYMS",9780123821843,"Human reproductive biology.","Elsevier Academic Press","Lopez, K.",2013
"UoY_HYMS",9780123869036,"Geometric morphometrics for biologists : a primer.","Amsterdam ; Elsevier Academic Press","Zelditch, M.",2012
"UoY_HYMS",9780123878380,"Platelets"," Academic Press","Michelson, A.D.",2013
"UoY_HYMS",9780130329813,"The human evolution source book."," Pearson Prentice Hall","Ciochon, R.L.",2006
"UoY_HYMS",9780140256703,"The challenge of pain.","Penguin","Melzack, R.",1996
"UoY_HYMS",9780141049410,"Bereavement : studies of grief in adult life."," Routledge","Parkes, C.M.",2010
"UoY_HYMS",9780143125846,"Medical statistics at a glance workbook"," Wiley-Blackwell","Petrie, A. and Sabin, C.",2013
"UoY_HYMS",9780191502989,"Oxford handbook of neurology"," Oxford University Press","Manji, H.",2014
"UoY_HYMS",9780191503054,"Oxford handbook of paediatrics"," Oxford University Press","Tasker, R., McClure, R., and Acerini, C.",2013
"UoY_HYMS",9780191545177,"The origin and evolution of mammals"," Oxford University Press","Kemp, T.S.",2005
"UoY_HYMS",9780191575327,"Essential neuropharmacology","Cambridge University Press","Silberstein, S.D.",2010
"UoY_HYMS",9780191628689,"Alzheimer's and other dementias"," Oxford University Press","Hughes, J.C.",2011
"UoY_HYMS",9780191629990,"Oxford handbook of geriatric medicine"," Oxford University Press","Bowker, L.K.",2012
"UoY_HYMS",9780192615879,"Cognitive behaviour therapy for psychiatric problems.","Oxford University Press","Hawton, K.",1989
"UoY_HYMS",9780192628343,"Cancer : the evolutionary legacy","Oxford University Press","Greaves, M.F.",2001
"UoY_HYMS",9780192630940,"Fatigue In Cancer","Oxford University Press","Armes, J.",2004
"UoY_HYMS",9780192632470,"Bandolier's little book of pain","Oxford University Press","Moore, R.A.",2003
"UoY_HYMS",9780195036862,"A history and theory of informed consent.","New York ","Faden, R.R., Beauchamp, T.L., and King, N.M.",1986
"UoY_HYMS",9780195101065,"The Nazi doctors and the Nuremberg Code : human rights in human experimentation."," Oxford University Press","Annas, G.J.",1992
"UoY_HYMS",9780195167351,"The human strategy : an evolutionary perspective on human anatomy.","New York ; Oxford University Press","Langdon, J.H.",2005
"UoY_HYMS",9780195335705,"Principles of biomedical ethics.","Oxford University Press","Beauchamp, T.L.",2009
"UoY_HYMS",9780198250760,"The future of human reproduction.","Clarendon Press","Harris, J.",1998
"UoY_HYMS",9780198520696,"Oxford handbook of nephrology and hypertension"," Oxford University Press","Steddon, S.",2014
"UoY_HYMS",9780198524724,"The visual brain in action.","Oxford University Press","Milner, A.D.",2006
"UoY_HYMS",9780198526124,"Child and adolescent psychiatry.","Oxford University Press","Turk, J.",2007
"UoY_HYMS",9780198529774,"Oxford handbook of respiratory medicine"," Oxford University Press","Chapman, S.",2014
"UoY_HYMS",9780198567301,"Emergencies in obstetrics and gynaecology"," Oxford University Press","Arulkumaran, S.",2006
"UoY_HYMS",9780198567578,"Oncology","Oxford University Press","Watson, M.",2006
"UoY_HYMS",9780198568537,"Introduction to the cellular and molecular biology of cancer"," Oxford University Press","Knowles, M.A.",2005
"UoY_HYMS",9780198570844,"Health for all children.","Oxford University Press","Hall, D.M.B.",2006
"UoY_HYMS",9780199204854,"Oxford textbook of medicine."," Oxford University Press","Warrell, D.A.",2010
"UoY_HYMS",9780199206698,"New Oxford textbook of psychiatry.","Oxford University Press","Gelder, M.G.",2009
"UoY_HYMS",9780199216420,"Psychosocial Issues In Palliative Care","Oxford University Press","Lloyd-williams, M.",2008
"UoY_HYMS",9780199232178,"Oxford handbook of clinical medicine"," Oxford University Press","Longmore, J.",2010
"UoY_HYMS",9780199233717,"Oxford handbook of clinical and laboratory investigation"," Oxford University Press","Provan, D.",2010
"UoY_HYMS",9780199233960,"Psychiatry","Oxford University Press","Geddes, J.",2012
"UoY_HYMS",9780199235285,"Oxford handbook of dialysis"," Oxford University Press","Levy, J.",2009
"UoY_HYMS",9780199235339,"Oxford handbook of critical care"," Oxford University Press","Singer, M.",2009
"UoY_HYMS",9780199550524,"Oxford handbook of clinical rehabilitation"," Oxford University Press","Ward, A.B. and Barnes, M.P.",2009
"UoY_HYMS",9780199550838,"Care of the dying.","Oxford University Press","Ellershaw, J.",2010
"UoY_HYMS",9780199554386,"Emergencies in cardiology"," Oxford University Press","Myerson, S.G., Choudhury, R.P., and Mitchell, A.",2010
"UoY_HYMS",9780199562121,"Clinical medicine"," Oxford University Press","Liakos, A.",2010
"UoY_HYMS",9780199572021,"Basic vision : an introduction to visual perception."," Oxford University Press","Snowden, R.",2012
"UoY_HYMS",9780199574933,"Human Physiology","Oxford","Pocock, G., Richards, C., and Richards, D.",2013
"UoY_HYMS",9780199577729,"Oxford Textbook of Heart Failure"," Oxford University Press","McDonagh, T. et al.",2011
"UoY_HYMS",9780199585823,"Oxford handbook of nutrition and dietetics"," Oxford University Press","Webster-Gandy, J., Madden, A., and Holdsworth, M.",2012
"UoY_HYMS",9780199586301,"Oxford handbook of public health practice"," Oxford University Press","Guest, C.",2013
"UoY_HYMS",9780199587186,"Oxford handbook of rheumatology","Oxford University Press","Hakim, A.",2011
"UoY_HYMS",9780199588442,"Oxford handbook of medical sciences"," Oxford University Press","Wilkins, R.",2011
"UoY_HYMS",9780199589562,"Oxford handbook of emergency medicine","Oxford University Press","Wyatt, J.",2012
"UoY_HYMS",9780199603244,"Oxford handbook of clinical immunology and allergy"," Oxford University Press","Spickett, G.",2013
"UoY_HYMS",9780199603640,"Oxford handbook of clinical pharmacy"," Oxford University Press","Wiffen, P.",2012
"UoY_HYMS",9780199605613,"Shorter Oxford textbook of psychiatry.","Oxford University Press","Cowen, P.",2012
"UoY_HYMS",9780199642489,"Oxford textbook of rheumatology"," Oxford University Press","Watts, R.A.",2013
"UoY_HYMS",9780199643219,"Oxford Handbook of Cardiology"," Oxford University Press","Ramrakha, P. and Hill, J.",2012
"UoY_HYMS",9780199651627,"Oxford handbook of occupational health"," Oxford University Press","Smedley, J., Dick, F., and Sadhra, S.S.",2013
"UoY_HYMS",9780199657582,"Clinical specialties"," Oxford University Press","Etheridge, L.",2013
"UoY_HYMS",9780199659906,"Mason and McCall Smith's law and medical ethics."," Oxford University Press","Mason, J.K.",2013
"UoY_HYMS",9780199676613,"Primate sexuality : comparative studies of the prosimians, monkeys, apes, and human beings."," Oxford University Press","Dixson, A.F.",2012
"UoY_HYMS",9780199683819,"Oxford handbook for the Foundation Programme"," Oxford University Press","Raine, T.",2014
"UoY_HYMS",9780199688159,"Situational judgement test"," Oxford University Press","Dev, H. and Metcalfe, D.",2014
"UoY_HYMS",9780199693146,"Oxford Textbook of Palliative Medicine"," Oxford University Press","Hanks, G.W.C.",2011
