"Title #"	"Title"	"ISBN"	"Author"	"Editor"	"Place_of_Publication"	"Publisher"	"Pub_Year"	"Country_Of_Origin"	"Binding"	"Pagination"	"Edition"	"Series_1.Title"	"Series_1.Series_Volume"	"LC/NLM/Dewey_Class"	"ItemVendor_1.Supplier"	"ItemVendor_1.Purchase_Option"	"ItemVendor_1.List_Price"	"ItemVendor_1.Status"	"ItemVendor_1.Library_Availability"	"ItemVendor_1.Preview"	"ItemVendor_1.Downloadable"	"ItemVendor_1.Available_To_Consortia"	"ItemVendor_1.Date_Added"	"ItemVendor_1.eBook_Pub_Due_Date"	"ItemVendor_1.eCollection_ID_1"	"ItemVendor_1.eCollection_ID_2"	"ItemVendor_1.eCollection_ID_3"	"ItemVendor_1.eCollection_ID_4"	"ItemVendor_2.Supplier"	"ItemVendor_2.Purchase_Option"	"ItemVendor_2.List_Price"	"ItemVendor_2.Status"	"ItemVendor_2.Library_Availability"	"ItemVendor_2.Preview"	"ItemVendor_2.Downloadable"	"ItemVendor_2.Available_To_Consortia"	"ItemVendor_2.Date_Added"	"ItemVendor_2.eBook_Pub_Due_Date"	"ItemVendor_2.eCollection_ID_1"	"ItemVendor_2.eCollection_ID_2"	"ItemVendor_2.eCollection_ID_3"	"ItemVendor_2.eCollection_ID_4"	"ItemVendor_3.Supplier"	"ItemVendor_3.Purchase_Option"	"ItemVendor_3.List_Price"	"ItemVendor_3.Status"	"ItemVendor_3.Library_Availability"	"ItemVendor_3.Preview"	"ItemVendor_3.Downloadable"	"ItemVendor_3.Available_To_Consortia"	"ItemVendor_3.Date_Added"	"ItemVendor_3.eBook_Pub_Due_Date"	"ItemVendor_3.eCollection_ID_1"	"ItemVendor_3.eCollection_ID_2"	"ItemVendor_3.eCollection_ID_3"	"ItemVendor_3.eCollection_ID_4"	"ItemVendor_4.Supplier"	"ItemVendor_4.Purchase_Option"	"ItemVendor_4.List_Price"	"ItemVendor_4.Status"	"ItemVendor_4.Library_Availability"	"ItemVendor_4.Preview"	"ItemVendor_4.Downloadable"	"ItemVendor_4.Available_To_Consortia"	"ItemVendor_4.Date_Added"	"ItemVendor_4.eBook_Pub_Due_Date"	"ItemVendor_4.eCollection_ID_1"	"ItemVendor_4.eCollection_ID_2"	"ItemVendor_4.eCollection_ID_3"	"ItemVendor_4.eCollection_ID_4"	"ItemVendor_5.Supplier"	"ItemVendor_5.Purchase_Option"	"ItemVendor_5.List_Price"	"ItemVendor_5.Status"	"ItemVendor_5.Library_Availability"	"ItemVendor_5.Preview"	"ItemVendor_5.Downloadable"	"ItemVendor_5.Available_To_Consortia"	"ItemVendor_5.Date_Added"	"ItemVendor_5.eBook_Pub_Due_Date"	"ItemVendor_5.eCollection_ID_1"	"ItemVendor_5.eCollection_ID_2"	"ItemVendor_5.eCollection_ID_3"	"ItemVendor_5.eCollection_ID_4"	"ItemVendor_6.Supplier"	"ItemVendor_6.Purchase_Option"	"ItemVendor_6.List_Price"	"ItemVendor_6.Status"	"ItemVendor_6.Library_Availability"	"ItemVendor_6.Preview"	"ItemVendor_6.Downloadable"	"ItemVendor_6.Available_To_Consortia"	"ItemVendor_6.Date_Added"	"ItemVendor_6.eBook_Pub_Due_Date"	"ItemVendor_6.eCollection_ID_1"	"ItemVendor_6.eCollection_ID_2"	"ItemVendor_6.eCollection_ID_3"	"ItemVendor_6.eCollection_ID_4"
1	"ADVANCING LIBRARY EDUCATION: TECHNOLOGICAL INNOVATION AND INSTRUCTIONAL DESIGN"	9781466636897		"ARI SIGAL"	"HERSHEY"	"INFORMATION SCI REFER IGI"	2013	"US"	"eBook"	"319 P."		"ADVANCES IN LIBRARY AND INFORMATION SCIENCE BOOK SERIES."		"Z668.A27 2013"	"ebrary"	"Multiple User Option (MUPO)"	"262.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	18/02/2014						"ebrary"	"Single User Option (SUPO)"	"175.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	18/02/2014	26/02/2014					"EBSCOhost"	"1 User"	"175.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	15/10/2013	06/11/2013					"EBSCOhost"	"3 User"	"218.75 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	15/10/2013						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	15/10/2013						"IGI Global Online"	"Multiple User Access"	"265.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	26/12/2013	01/01/2014				
2	"ADVANCING RESEARCH METHODS WITH NEW TECHNOLOGIES."	9781466639195	"SAPPLETON, NATALIE"		"HERSHEY"	"IGI PUBLISHING"	2013	"US"	"eBook"	"390 P."	1			"Q224.34 2013"	"ebrary"	"Multiple User Option (MUPO)"	"262.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	15/04/2013						"ebrary"	"Single User Option (SUPO)"	"175.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	15/04/2013	06/11/2013					"EBSCOhost"	"1 User"	"175.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	09/04/2013						"EBSCOhost"	"3 User"	"218.75 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	15/04/2013						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	15/04/2013						"Gale GVRL"	"Multiple User Access"	"259.88 USD"	"Available"	"Yes"	"Preview"	"No"	"Yes"	26/02/2013					
3	"ADVANCING THE HUMAN RIGHT TO HEALTH"	9780191637636		"JOSE M. ZUNIGA"	"OXFORD"	"OXFORD UNIVERSITY PRESS"	2013	"UK"	"eBook"	"456 P."				"K3260.3"	"ebrary"	"Single User Option (SUPO)"	"399.92 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	06/08/2013	06/11/2013					"EBSCOhost"	"1 User"	"269.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	29/07/2013	20/11/2013					"EBSCOhost"	"3 User"	"337.44 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	31/07/2013						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	31/07/2013																																	
3	"ADVANCING THE HUMAN RIGHT TO HEALTH"	9780191637643		"JOSE M. ZUNIGA"	"OXFORD"	"OXFORD UNIVERSITY PRESS"	2013	"UK"	"eBook"	"456 P."				"K3260.3"	"EBL"	"Non-Linear Lendingâ„¢"	"269.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	24/09/2013	06/11/2013														06/11/2013																																																												
4	"AIR POLLUTION: SOURCES, PREVENTION AND HEALTH EFFECTS"	9781624177460		"RAJAT SETHI"	"NEW YORK"	"NOVA SCIENCE"	2013	"US"	"eBook"	"366 P."		"AIR, WATER AND SOIL POLLUTION SCIENCE AND TECHNOLOGY SERIES."		"RA576.A535 2013"	"ebrary"	"3 User"	"253.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	30/04/2014		"PS MEDICINE;"				"ebrary"	"Multiple User Option (MUPO)"	"292.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	26/08/2013		"PS MEDICINE;"				"ebrary"	"Single User Option (SUPO)"	"195.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	26/08/2013	04/09/2013	"PS MEDICINE;"				"EBSCOhost"	"1 User"	"195.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	22/08/2013	06/11/2013					"EBSCOhost"	"3 User"	"292.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	22/08/2013						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	22/08/2013					
5	"'ALIDS: FIRST FAMILY OF ISLAM, 750-1200."	9780748638482	"BERNHEIMER, TERESA, 1978-"		"EDINBURGH"	"EDINBURGH UNIV PRESS"	2013	"UK"	"eBook"	"119 P."				"DS238.A1"	"Cambridge UP Online"	"Unlimited"	"125.00 USD"	"Available"	"No contract on file"		"Yes"	"Yes"	10/10/2013	16/10/2013					"ebrary"	"Single User Option (SUPO)"	"110.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	26/08/2013	04/09/2013					"EBSCOhost"	"1 User"	"120.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	20/08/2013	06/11/2013					"EBSCOhost"	"3 User"	"150.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	22/08/2013						"EBSCOhost"	"Concurrent Access"	"120.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	12/02/2014						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	22/08/2013					
6	"ALONG THE STREETS OF BRONZEVILLE: BLACK CHICAGO'S LITERARY LANDSCAPE."	9780252095108	"SCHLABACH, ELIZABETH SCHROEDER"		"URBANA"	"UNIV OF ILLINOIS PRESS"	2013	"US"	"eBook"	"167 P."		"NEW BLACK STUDIES."		"PS285.C47S35 2013"	"ebrary"	"Multiple User Option (MUPO)"	"67.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	11/10/2013		"ACADEMIC COMPLETE; "	"F07 ETHNIC GENDER; "	"F07 LANG LING LIT;"		"ebrary"	"Single User Option (SUPO)"	"45.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	11/10/2013	06/11/2013	"ACADEMIC COMPLETE; "	"F07 ETHNIC GENDER; "	"F07 LANG LING LIT;"		"EBSCOhost"	"1 User"	"45.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	17/10/2013	13/11/2013					"EBSCOhost"	"3 User"	"56.25 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	17/10/2013						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	17/10/2013						"JSTOR"	"Single User Option"	"Tiered"	"Available"	"No contract on file"		"Yes"	"No"	20/05/2014					
7	"ANTHROPOLOGY OF ARCHITECTURE."	9780857853004	"BUCHLI, VICTOR"		"LONDON"	"BLOOMSBURY"	2013	"UK"	"eBook"	"212 P."				"NA2543.A58B83 2013"	"EBL"	"Non-Linear Lendingâ„¢"	"96.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	24/09/2013	13/11/2013														13/11/2013					"ebrary"	"3 User"	"120.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	29/04/2014						"ebrary"	"Multiple User Option (MUPO)"	"144.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	02/10/2013						"ebrary"	"Single User Option (SUPO)"	"96.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	02/10/2013	06/11/2013																		
7	"ANTHROPOLOGY OF ARCHITECTURE."	9780857853011	"BUCHLI, VICTOR"		"LONDON"	"BLOOMSBURY"	2013	"UK"	"eBook"	"212 P."				"NA2543.A58B83 2013"	"EBSCOhost"	"1 User"	"96.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	20/09/2013	06/11/2013					"EBSCOhost"	"3 User"	"120.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	20/09/2013						"EBSCOhost"	"Concurrent Access"	"96.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	12/02/2014						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	20/09/2013																																	
8	"ANTI-REFUGEE VIOLENCE AND AFRICAN POLITICS."	9781107278653	"ONOMA, ATO KWAMENA, 1975-"		"NEW YORK"	"CAMBRIDGE UNIV PRESS"	2013	"US"	"eBook"	"278 P."				"HV640.4.A35O53 2013"	"EBSCOhost"	"1 User"	"125.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	02/10/2013	06/11/2013					"EBSCOhost"	"3 User"	"250.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	03/09/2014						"EBSCOhost"	"Concurrent Access"	"125.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	03/09/2014																																															
8	"ANTI-REFUGEE VIOLENCE AND AFRICAN POLITICS."	9781107274167	"ONOMA, ATO KWAMENA, 1975-"		"NEW YORK"	"CAMBRIDGE UNIV PRESS"	2013	"US"	"eBook"	"278 P."				"HV640.4.A35O53 2013"	"ebrary"	"Single User Option (SUPO)"	"125.00 USD"	"Available"	"Yes"	"Preview"	"No"	"Yes"	11/10/2013	06/11/2013																																																																										
8	"ANTI-REFUGEE VIOLENCE AND AFRICAN POLITICS."	9781107275409	"ONOMA, ATO KWAMENA, 1975-"		"NEW YORK"	"CAMBRIDGE UNIV PRESS"	2013	"US"	"eBook"	"278 P."				"HV640.4.A35O53 2013"	"EBL"	"Non-Linear Lendingâ„¢"	"125.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	02/10/2013	06/11/2013														06/11/2013																																																												
8	"ANTI-REFUGEE VIOLENCE AND AFRICAN POLITICS."	9781139568135	"ONOMA, ATO KWAMENA, 1975-"		"NEW YORK"	"CAMBRIDGE UNIV PRESS"	2013	"US"	"eBook"	"278 P."				"HV640.4.A35O53 2013"	"Cambridge UP Online"	"Unlimited"	"125.00 USD"	"Available"	"No contract on file"		"Yes"	"Yes"	10/10/2013	06/11/2013																																																																										
9	"BLACK SKIN, WHITE COATS: NIGERIAN PSYCHIATRISTS, DECOLONIZATION, AND THE GLOBALIZATION OF PSYCHIATRY."	9780821444733	"HEATON, MATTHEW M"		"ATHENS"	"OHIO UNIVERSITY PRESS"	2013	"US"	"eBook"	"249 P."	1	"NEW AFRICAN HISTORIES."		"RC438.H43 2013"	"EBL"	"Non-Linear Lendingâ„¢"	"66.19 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	18/07/2014						"EBL"	"Unlimited"	"105.90 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	18/07/2014						"ebrary"	"3 User"	"66.19 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	09/06/2014		"ACADEMIC COMPLETE; "	"F07 NURSING; "	"F07 PSYCH SW; "	"PS MEDICINE;"	"ebrary"	"Multiple User Option (MUPO)"	"79.43 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	18/10/2013		"ACADEMIC COMPLETE; "	"F07 NURSING; "	"F07 PSYCH SW; "	"PS MEDICINE;"	"ebrary"	"Single User Option (SUPO)"	"52.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	18/10/2013	06/11/2013	"ACADEMIC COMPLETE; "	"F07 NURSING; "	"F07 PSYCH SW; "	"PS MEDICINE;"	"EBSCOhost"	"1 User"	"52.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	15/10/2013	20/11/2013				
10	"BUILDING IPHONE AND IPAD ELECTRONIC PROJECTS."	9781449363468	"WESTERFIELD, MIKE"		"SEBASTOPOL"	"O'REILLY MEDIA"	2013	"US"	"eBook"	"318 P."				"TK7870"	"EBSCOhost"	"1 User"	"23.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	13/09/2013	06/11/2013																																																																										
10	"BUILDING IPHONE AND IPAD ELECTRONIC PROJECTS."	9781449363482	"WESTERFIELD, MIKE"		"SEBASTOPOL"	"O'REILLY MEDIA"	2013	"US"	"eBook"	"318 P."				"TK7870"	"ebrary"	"Single User Option (SUPO)"	"23.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	21/10/2013	06/11/2013																																																																										
11	"CARRIAGE OF GOODS BY SEA LAND AND AIR: UNIMODAL AND MULTIMODAL TRANSPORT IN THE 21ST CENTURY"	9781135124120		"BARIS SOYER"	"LONDON"	"INFORMA LAW"	2013	"UK"	"eBook"	"430 P."		"MARITIME AND TRANSPORT LAW LIBRARY."		"K4025.C37 2013"	"EBL"	"3 User"	"550.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	16/08/2013						"EBL"	"Non-Linear Lendingâ„¢"	"660.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	16/08/2013	06/11/2013														06/11/2013																			"EBSCOhost"	"1 User"	"440.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	19/08/2013	06/11/2013					"EBSCOhost"	"3 User"	"550.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	19/08/2013					
11	"CARRIAGE OF GOODS BY SEA LAND AND AIR: UNIMODAL AND MULTIMODAL TRANSPORT IN THE 21ST CENTURY"	9780203798065		"BARIS SOYER"	"LONDON"	"INFORMA LAW"	2013	"UK"	"eBook"	"430 P."		"MARITIME AND TRANSPORT LAW LIBRARY."		"K4025.C37 2013"	"ebrary"	"3 User"	"550.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	26/08/2013						"ebrary"	"Single User Option (SUPO)"	"440.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	26/08/2013	06/11/2013					"Taylor & Francis eCollections"	"Unlimited User Access"	"Not Known"	"YBP only sells as part of an eCollection. Not sold separately by YBP."	"No contract on file"		"No"	"No"	08/07/2014																																															
12	"CHASING SOUND: TECHNOLOGY, CULTURE, AND THE ART OF STUDIO RECORDING FROM EDISON TO THE LP."	9781421410234	"HORNING, SUSAN SCHMIDT"		"BALTIMORE"	"JOHNS HOPKINS UNIV PRESS"	2013	"US"	"eBook"	"292 P."		"STUDIES IN INDUSTRY AND SOCIETY."		"ML3790.S346 2013"	"ebrary"	"Single User Option (SUPO)"	"45.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	29/05/2013	13/11/2013					"EBSCOhost"	"1 User"	"45.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	25/10/2013	06/11/2013					"EBSCOhost"	"3 User"	"56.25 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	25/10/2013						"EBSCOhost"	"Concurrent Access"	"45.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	12/02/2014						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	25/10/2013						"Project MUSE"	"Unlimited Use"	"90.00 USD"	"Available"	"No contract on file"		"Yes"	"No"	27/11/2013	04/12/2013	"2013 COMPLETE; "	"2013 FILM, THEATER AND PERFORM; "	"SINGLE TITLE COLLECTION;"	
13	"CINEMA OF SERGEI PARAJANOV."	9780299296537	"STEFFEN, JAMES"		"MADISON"	"UNIV OF WISCONSIN PRESS"	2013	"US"	"eBook"	"306 P."		"WISCONSIN STUDIES IN FILM."		"PN1998.3.P356S74 2013"	"ebrary"	"Multiple User Option (MUPO)"	"37.43 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	30/09/2013		"ACADEMIC COMPLETE; "	"F07 LANG LING LIT;"			"ebrary"	"Single User Option (SUPO)"	"24.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	16/07/2013	09/10/2013	"ACADEMIC COMPLETE; "	"F07 LANG LING LIT;"			"EBSCOhost"	"1 User"	"24.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	31/10/2013	06/11/2013					"EBSCOhost"	"3 User"	"31.19 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	31/10/2013						"EBSCOhost"	"Concurrent Access"	"24.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	12/02/2014						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	31/10/2013					
14	"COLERIDGE, ROMANTICISM AND THE ORIENT: CULTURAL NEGOTIATIONS"	9781441121349		"DAVID VALLINS"	"LONDON"	"BLOOMSBURY"	2013	"UK"	"eBook"	"227 P."				"PR4487.O74C65 2013"	"EBL"	"Non-Linear Lendingâ„¢"	"92.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	04/06/2014	11/06/2014					"ebrary"	"3 User"	"115.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	29/04/2014						"ebrary"	"Multiple User Option (MUPO)"	"138.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	27/05/2013						"ebrary"	"Single User Option (SUPO)"	"92.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	27/05/2013	04/09/2013					"EBSCOhost"	"1 User"	"92.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	17/05/2013	06/11/2013					"EBSCOhost"	"3 User"	"115.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	21/05/2013					
15	"CONTROL OF SWITCHING SYSTEMS BY INVARIANCE ANALYSIS: APPLICATION TO POWER ELECTRONICS."	9781118791455	"FRIBOURG, LAURENT, 1957-"		"HOBOKEN"	"JOHN WILEY"	2013	"UK"	"eBook"	"128 P."		"SYSTEMS ENGINEERING SERIES."		"TK7868.S9F53 2013"	"EBL"	"Non-Linear Lendingâ„¢"	"105.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	07/10/2013	06/11/2013														06/11/2013					"ebrary"	"3 User"	"122.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	26/08/2013		"ACADEMIC COMPLETE; "	"F07 ENGINEERING;"			"ebrary"	"Single User Option (SUPO)"	"70.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	26/08/2013	06/11/2013	"ACADEMIC COMPLETE; "	"F07 ENGINEERING;"			"EBSCOhost"	"1 User"	"70.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	20/08/2013	06/11/2013					"EBSCOhost"	"3 User"	"105.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	20/08/2013					
